year,topic,count
2007,0,907
2007,1,288
2007,2,329
2008,0,653
2008,1,94
2008,2,89
2009,0,2323
2009,1,272
2009,2,741
2010,0,447
2010,1,148
2010,2,110
2011,0,466
2011,1,138
2011,2,135
2012,0,256
2012,1,198
2012,2,157
2013,0,343
2013,1,263
2013,2,184
2014,0,568
2014,1,318
2014,2,202
2015,0,2125
2015,1,559
2015,2,701
2016,0,820
2016,1,640
2016,2,372
2017,0,724
2017,1,732
2017,2,302
2018,0,758
2018,1,962
2018,2,375
2019,0,788
2019,1,1219
2019,2,384
2020,0,808
2020,1,1529
2020,2,450
2021,0,816
2021,1,1897
2021,2,452
2022,0,835
2022,1,2136
2022,2,423
2023,0,973
2023,1,2605
2023,2,471
2024,0,992
2024,1,3443
2024,2,507
2025,0,1255
2025,1,4528
2025,2,684
2026,0,750
2026,1,2901
2026,2,455
